Reject Rate         , Change of RMSE (%)
0.0                 , 5.954450543021537e-14
0.009370816599732263, -3.8952653727576823
0.018741633199464525, -6.33010807555993
0.029451137884872823, -8.551772183052476
0.038821954484605084, -10.361280326570581
0.049531459170013385, -12.34914027446707
0.058902275769745646, -14.039981803519122
0.06961178045515395 , -15.954595312172962
0.07898259705488621 , -17.55855785517473
0.08969210174029452 , -19.26644513198982
0.09906291834002677 , -20.659602651464283
0.10977242302543508 , -22.163035974058158
0.11914323962516733 , -23.48226321754895
0.12985274431057564 , -24.94863977158454
0.1392235609103079  , -26.16452314929522
0.1499330655957162  , -27.54334623377322
0.15930388219544847 , -28.74065526065649
0.1686746987951807  , -29.927792439688016
0.17938420348058903 , -31.24173667536153
0.18875502008032127 , -32.34798822494687
0.1994645247657296  , -33.5998603813012
0.20883534136546184 , -34.67785501716213
0.21954484605087016 , -35.922088658167475
0.2289156626506024  , -37.006707335322666
0.23962516733601072 , -38.237675685491425
0.24899598393574296 , -39.30576927549927
0.2597054886211513  , -40.489371055913864
0.26907630522088355 , -41.53465422331795
0.2797858099062918  , -42.721294402133545
0.2891566265060241  , -43.76502891557465
0.2998661311914324  , -44.959292949441775
0.3092369477911647  , -45.96161199408019
0.31994645247657294 , -47.07816809977865
0.3293172690763052  , -48.039263711424454
0.3386880856760375  , -48.99010957649856
0.3493975903614458  , -50.060594829970114
0.35876840696117807 , -50.97581863920527
0.36947791164658633 , -52.01004680403426
0.3788487282463186  , -52.877216694866256
0.3895582329317269  , -53.859039555593945
0.3989290495314592  , -54.704125965350435
0.40963855421686746 , -55.67084728982243
0.4190093708165997  , -56.503996676917325
0.42971887550200805 , -57.44740158529418
0.4390896921017403  , -58.26658799455691
0.4497991967871486  , -59.20819730299405
0.45917001338688085 , -59.97127361964466
0.46987951807228917 , -60.80454766676876
0.47925033467202144 , -61.52474937565858
0.4899598393574297  , -62.351368057617826
