Reject Rate,Change of RMSE (%)
0.009370816599732263,-3.8952653727576823
0.018741633199464525,-6.33010807555993
0.029451137884872823,-8.551772183052476
0.038821954484605084,-10.361280326570581
0.049531459170013385,-12.34914027446707
0.058902275769745646,-14.039981803519122
0.06961178045515395,-15.954595312172962
0.07898259705488621,-17.55855785517473
0.08969210174029452,-19.26644513198982
0.09906291834002677,-20.659602651464283
0.10977242302543508,-22.163035974058158
0.11914323962516733,-23.48226321754895
0.12985274431057564,-24.94863977158454
0.1392235609103079,-26.16452314929522
0.1499330655957162,-27.54334623377322
0.15930388219544847,-28.74065526065649
0.1686746987951807,-29.927792439688016
0.17938420348058903,-31.24173667536153
